OrderDate,Quantity,Combining_Duplicates,
2019-03-06,1,39.73,
2019-03-08,1,22.69,
2019-03-11,1,15.95,
2019-03-14,1,55.94,
2019-03-28,3,97.08,
2019-03-29,1,35.99,
2019-04-08,1,55.38,
2019-04-13,1,30.99,
2019-04-22,1,11.78,
2019-04-23,1,124.95,
2019-04-24,1,78.98,
2019-04-29,1,59.25,
2019-04-30,3,17.07,
2019-05-02,1,47.66,
2019-05-04,1,248.98,
2019-05-07,1,53,
2019-05-08,1,59.99,
2019-05-10,1,203.88,
2019-05-12,1,54.96,
2019-05-13,1,63.3,
2019-05-15,1,44.3,
2019-05-17,1,27.07,
2019-05-18,1,107.68,
2019-05-21,1,75.33,
2019-05-22,1,35.25,
2019-05-25,1,84.7,
2019-05-27,1,19.99,
2019-05-30,1,125.78,
2019-06-03,1,116.97,
2019-06-06,1,92.52,
2019-06-07,1,18.6,
2019-06-10,1,28.92,
2019-06-13,1,14.44,
2019-06-18,1,98.61,
2019-06-21,1,15.49,
2019-06-22,1,31.62,
2019-06-24,1,11.83,
2019-06-25,1,88.45,
2019-06-26,1,21.09,
2019-06-27,1,21.03,
2019-07-01,1,40.21,
2019-07-05,3,52.8,
2019-07-06,1,32.63,
2019-07-08,1,42.15,
2019-07-10,1,83.89,
2019-07-15,1,816.54,
2019-07-16,1,155.79,
2019-07-17,1,23.19,
2019-07-18,1,7.99,
2019-07-19,1,21.98,
2019-07-21,6,29.01,
2019-07-22,1,15.97,
2019-07-23,1,12.59,
2019-07-27,1,21.71,
2019-08-04,1,56.32,
2019-08-06,1,147.89,
2019-08-07,1,20.03,
2019-08-09,1,8.49,
2019-08-11,3,42.03,
2019-08-17,1,173.42,
2019-08-21,1,7.12,
2019-09-03,1,55.63,
2019-09-04,1,3.02,
2019-09-10,1,8.95,
2019-09-11,1,37.65,
2019-09-12,1,38.95,
2019-09-13,1,34.75,
2019-09-15,1,7.99,
2019-09-16,1,162.15,
2019-09-18,1,117.22,
2019-09-22,1,6.07,
2019-10-01,1,39.95,
2019-10-02,1,28.29,
2019-10-07,1,30.34,
2019-10-13,1,47.64,
2019-10-26,2,92.63,
2019-10-27,1,60.98,
2019-10-28,1,124.44,
2019-10-29,1,6.27,
2019-10-30,1,77.24,
2019-11-02,1,44.38,
2019-11-08,1,83.7,
2019-11-13,2,35.76,
2019-11-25,2,73.51,
2019-11-28,1,116.35,
2019-12-01,1,246.77,
2019-12-02,1,283.83,
2019-12-05,1,29.07,
2019-12-06,2,49.51,
2019-12-07,1,30.2,
2019-12-09,1,32.61,
2019-12-10,1,333.99,
2019-12-11,1,77.78,
2019-12-12,1,27.9,
2019-12-15,1,127.13,
2019-12-16,1,8.88,
2019-12-17,1,78.21,
2019-12-24,2,43.08,
2019-12-25,1,84.6,
2019-12-26,1,11.99,
2019-12-27,1,35.79,
2019-12-28,1,10.4,
2019-12-29,1,24.16,
2019-12-30,1,171.97,
2019-12-31,1,52.74,
2020-01-01,1,56.24,
2020-01-06,1,21.09,
2020-01-13,1,19.5,
2020-01-15,1,125.39,
2020-01-17,1,10.48,
2020-01-19,1,83.33,
2020-01-22,1,20.03,
2020-01-23,1,14.65,
2020-01-24,1,106.94,
2020-01-26,1,26.36,
2020-01-28,1,42.19,
2020-01-31,1,14.3,
2020-02-07,1,325.39,
2020-02-12,1,31.64,
2020-02-13,1,160.86,
2020-02-14,2,60.48,
2020-02-15,1,12.72,
2020-02-16,1,32.95,
2020-02-20,1,51.67,
2020-02-21,1,48.17,
2020-02-24,1,124.56,
2020-02-25,1,97.12,
2020-02-26,1,24.02,
2020-02-28,1,25.2,
2020-02-29,1,118.06,
2020-03-03,1,11.97,
2020-03-04,3,20.37,
2020-03-07,1,174.22,
2020-03-08,1,11.25,
2020-03-11,1,40.5,
2020-03-12,2,48.87,
2020-03-13,1,48.76,
2020-03-14,1,59.31,
2020-03-15,1,26.06,
2020-03-16,1,7.37,
2020-03-19,1,12.23,
2020-03-20,1,40.37,
2020-03-22,1,28.46,
2020-03-23,1,22.63,
2020-03-25,1,97.74,
2020-03-29,1,15.47,
2020-04-01,1,9.99,
2020-04-03,1,37.47,
2020-04-04,1,26.91,
2020-04-05,1,34.32,
2020-04-06,1,84.56,
2020-04-07,1,116.01,
2020-04-08,1,27.83,
2020-04-10,1,32.69,
2020-04-14,1,50,
2020-04-26,1,40.91,
2020-04-28,1,83.35,
2020-04-29,1,11.59,
2020-05-02,1,46.16,
2020-05-03,1,50,
2020-05-04,1,40.44,
2020-05-06,1,22.68,
2020-05-07,1,10.54,
2020-05-10,1,20.51,
2020-05-12,1,79.83,
2020-05-16,1,148.94,
2020-05-17,1,6.21,
2020-05-19,1,20.51,
2020-05-23,1,16.83,
2020-05-25,1,33.56,
2020-05-27,1,55.25,
2020-05-28,1,101.37,
2020-05-29,1,140.51,
2020-05-30,1,9.8,
2020-06-06,1,48.06,
2020-06-09,1,13.31,
2020-06-10,1,17.71,
2020-06-14,1,23.12,
2020-06-17,1,28.37,
2020-06-22,1,32.68,
2020-06-26,1,31.52,
2020-06-27,1,51.45,
2020-06-28,1,11.13,
