OrderDate,Quantity
9/19/2015,1
9/22/2015,2
9/26/2015,1
9/29/2015,1
10/2/2015,1
10/2/2015,1
10/2/2015,1
10/4/2015,1
10/4/2015,1
10/5/2015,1
10/5/2015,1
10/5/2015,2
10/10/2015,1
10/10/2015,1
10/10/2015,1
10/10/2015,1
10/10/2015,1
10/11/2015,2
11/25/2015,1
11/25/2015,1
11/25/2015,1
11/25/2015,1
11/25/2015,1
11/26/2015,1
11/26/2015,1
11/27/2015,1
11/27/2015,1
11/28/2015,1
11/28/2015,1
11/28/2015,1
11/28/2015,1
11/28/2015,2
11/29/2015,1
11/29/2015,1
11/29/2015,1
11/29/2015,1
11/29/2015,3
12/2/2015,1
12/2/2015,1
12/2/2015,1
12/2/2015,1
12/2/2015,1
12/2/2015,1
12/2/2015,1
12/2/2015,1
12/5/2015,1
12/5/2015,1
12/5/2015,1
12/5/2015,1
12/9/2015,1
12/9/2015,1
12/9/2015,1
12/9/2015,1
12/9/2015,1
12/9/2015,1
12/9/2015,1
12/9/2015,1
12/9/2015,1
12/9/2015,1
12/9/2015,1
12/29/2015,1
12/29/2015,1
1/2/2016,1
1/2/2016,1
1/2/2016,1
1/2/2016,1
1/2/2016,1
1/2/2016,1
1/12/2016,1
1/12/2016,1
1/16/2016,1
1/16/2016,1
1/16/2016,1
1/16/2016,1
1/16/2016,1
1/21/2016,1
1/21/2016,1
1/22/2016,1
1/22/2016,1
1/22/2016,1
1/23/2016,1
1/23/2016,1
1/23/2016,1
1/23/2016,1
1/26/2016,1
1/26/2016,1
1/26/2016,1
1/26/2016,1
1/26/2016,1
1/26/2016,1
1/26/2016,1
2/7/2016,2
2/7/2016,1
2/7/2016,1
2/13/2016,1
2/13/2016,1
2/13/2016,1
2/23/2016,1
2/23/2016,1
2/23/2016,1
2/27/2016,1
2/27/2016,1
2/27/2016,1
2/27/2016,1
4/8/2016,1
4/8/2016,1
4/8/2016,1
4/8/2016,1
4/8/2016,1
4/8/2016,1
4/8/2016,1
4/29/2016,1
4/29/2016,1
4/29/2016,1
7/21/2016,1
7/21/2016,1
8/3/2016,1
8/3/2016,1
9/5/2016,1
9/5/2016,1
9/5/2016,1
9/5/2016,1
9/5/2016,1
9/5/2016,1
9/24/2016,1
9/24/2016,1
9/24/2016,1
11/2/2016,1
11/2/2016,4
11/2/2016,1
11/2/2016,1
11/2/2016,1
11/5/2016,1
11/10/2016,1
11/10/2016,1
11/18/2016,1
11/20/2016,1
11/20/2016,1
11/21/2016,1
11/23/2016,1
11/24/2016,1
11/24/2016,1
11/24/2016,1
11/24/2016,1
11/24/2016,2
11/24/2016,1
11/24/2016,1
11/24/2016,1
11/24/2016,1
11/24/2016,1
11/24/2016,1
11/24/2016,1
11/25/2016,1
11/25/2016,1
11/25/2016,1
11/25/2016,1
11/25/2016,1
11/25/2016,1
11/27/2016,1
11/27/2016,1
11/27/2016,1
11/28/2016,1
11/28/2016,1
11/28/2016,1
11/28/2016,2
11/28/2016,1
11/30/2016,1
11/30/2016,1
11/30/2016,1
11/30/2016,1
11/30/2016,1
11/30/2016,1
11/30/2016,1
12/2/2016,1
12/2/2016,1
12/2/2016,1
12/2/2016,1
12/2/2016,1
12/6/2016,1
12/7/2016,1
12/7/2016,1
12/7/2016,1
12/7/2016,1
12/7/2016,1
12/8/2016,1
12/8/2016,1
12/8/2016,1
12/8/2016,1
12/8/2016,1
12/8/2016,1
12/11/2016,1
12/13/2016,1
12/13/2016,1
12/13/2016,1
12/13/2016,1
12/13/2016,1
12/15/2016,1
12/15/2016,1
12/15/2016,1
12/15/2016,1
12/15/2016,1
12/15/2016,1
12/18/2016,1
12/20/2016,1
12/24/2016,1
1/11/2017,2
1/31/2017,1
2/6/2017,2
2/6/2017,1
2/7/2017,1
2/7/2017,1
2/7/2017,1
2/7/2017,1
2/7/2017,1
2/8/2017,1
2/9/2017,1
2/9/2017,1
2/9/2017,1
2/16/2017,1
2/16/2017,1
2/16/2017,1
2/16/2017,1
2/16/2017,1
2/16/2017,1
2/16/2017,1
2/18/2017,1
2/18/2017,1
2/21/2017,1
2/21/2017,1
2/24/2017,1
2/24/2017,1
2/24/2017,1
2/24/2017,1
2/24/2017,1
2/28/2017,1
3/1/2017,1
3/2/2017,1
3/5/2017,1
3/5/2017,1
3/5/2017,1
3/6/2017,1
3/6/2017,1
3/6/2017,1
3/6/2017,1
3/7/2017,1
3/13/2017,1
3/18/2017,1
3/18/2017,1
3/18/2017,1
3/21/2017,1
3/21/2017,1
3/21/2017,1
3/22/2017,1
3/22/2017,1
4/1/2017,1
4/13/2017,1
4/16/2017,1
4/16/2017,1
4/16/2017,1
4/16/2017,1
4/16/2017,1
4/16/2017,1
4/18/2017,1
5/1/2017,1
5/1/2017,1
5/5/2017,1
5/5/2017,2
5/12/2017,1
5/15/2017,1
5/16/2017,1
5/16/2017,1
5/16/2017,1
6/14/2017,1
6/15/2017,1
6/15/2017,2
6/15/2017,2
6/15/2017,1
6/15/2017,1
6/15/2017,1
6/15/2017,1
6/15/2017,1
6/18/2017,1
6/22/2017,1
6/22/2017,1
6/22/2017,1
6/22/2017,1
6/22/2017,1
6/25/2017,1
6/25/2017,1
6/25/2017,1
6/25/2017,1
6/25/2017,1
6/29/2017,1
6/29/2017,1
7/5/2017,1
7/5/2017,1
7/5/2017,1
7/5/2017,1
7/5/2017,1
7/5/2017,1
7/5/2017,1
7/5/2017,1
7/5/2017,1
7/5/2017,1
7/6/2017,1
7/6/2017,1
7/6/2017,1
7/6/2017,1
7/6/2017,1
7/6/2017,1
7/11/2017,1
7/11/2017,1
7/11/2017,1
7/11/2017,1
7/11/2017,1
7/11/2017,1
7/11/2017,1
7/11/2017,1
7/12/2017,1
7/12/2017,1
7/12/2017,1
7/14/2017,1
7/15/2017,1
7/15/2017,1
7/22/2017,1
7/23/2017,1
7/27/2017,1
7/27/2017,1
7/27/2017,1
7/30/2017,1
7/30/2017,1
8/2/2017,1
8/6/2017,1
8/7/2017,1
8/7/2017,1
8/15/2017,1
8/15/2017,1
8/15/2017,2
8/15/2017,2
8/15/2017,1
8/15/2017,1
8/15/2017,1
8/15/2017,3
8/18/2017,1
8/20/2017,2
8/20/2017,1
8/20/2017,1
8/20/2017,1
8/20/2017,1
8/20/2017,2
8/20/2017,1
8/20/2017,1
8/20/2017,1
8/23/2017,1
8/23/2017,1
9/3/2017,1
9/3/2017,1
9/3/2017,1
9/4/2017,1
9/5/2017,1
9/6/2017,1
9/6/2017,1
9/6/2017,1
9/6/2017,1
9/8/2017,1
9/8/2017,1
9/8/2017,1
9/8/2017,1
9/20/2017,1
9/20/2017,1
9/20/2017,1
9/20/2017,1
9/23/2017,1
9/23/2017,1
9/24/2017,1
9/27/2017,1
9/27/2017,1
9/27/2017,2
9/27/2017,1
9/27/2017,1
9/28/2017,1
9/28/2017,1
9/28/2017,1
9/28/2017,1
9/28/2017,1
10/1/2017,1
10/1/2017,1
10/1/2017,1
10/5/2017,1
10/5/2017,1
10/11/2017,1
10/12/2017,1
10/15/2017,1
10/15/2017,1
10/19/2017,1
10/21/2017,1
10/21/2017,1
11/3/2017,1
11/5/2017,1
11/5/2017,1
11/6/2017,1
11/6/2017,1
11/6/2017,1
11/7/2017,1
11/8/2017,1
11/15/2017,1
11/15/2017,1
11/16/2017,1
11/19/2017,1
11/19/2017,1
11/23/2017,1
11/23/2017,1
11/23/2017,1
11/23/2017,1
11/23/2017,1
11/23/2017,1
11/23/2017,1
11/25/2017,1
11/25/2017,1
11/25/2017,1
11/25/2017,1
11/25/2017,1
11/25/2017,1
11/25/2017,1
11/25/2017,1
11/25/2017,1
11/25/2017,1
11/27/2017,1
11/27/2017,1
11/27/2017,1
11/27/2017,1
11/27/2017,1
11/27/2017,1
11/29/2017,1
11/29/2017,1
12/1/2017,1
12/1/2017,1
12/2/2017,1
12/2/2017,1
12/2/2017,1
12/2/2017,1
12/2/2017,1
12/5/2017,1
12/5/2017,2
12/7/2017,1
12/7/2017,1
12/7/2017,1
12/7/2017,1
12/7/2017,1
12/7/2017,1
12/7/2017,1
12/13/2017,1
12/13/2017,1
12/13/2017,1
12/13/2017,1
12/13/2017,1
12/15/2017,1
12/15/2017,1
12/25/2017,1
12/25/2017,1
12/25/2017,1
12/27/2017,1
12/27/2017,1
12/29/2017,1
12/29/2017,1
12/31/2017,1
12/31/2017,1
1/3/2018,1
1/10/2018,1
1/11/2018,1
1/18/2018,1
1/18/2018,1
1/18/2018,1
1/18/2018,1
1/18/2018,2
1/18/2018,1
1/19/2018,1
1/19/2018,1
1/22/2018,1
1/22/2018,1
1/24/2018,1
1/24/2018,1
1/24/2018,1
1/25/2018,1
1/25/2018,1
1/25/2018,1
1/27/2018,1
1/27/2018,1
1/27/2018,1
1/27/2018,1
1/27/2018,1
1/27/2018,1
2/5/2018,1
2/8/2018,1
2/8/2018,1
2/8/2018,1
2/9/2018,1
2/13/2018,1
2/13/2018,1
2/15/2018,1
2/15/2018,1
2/24/2018,1
2/25/2018,1
2/28/2018,1
2/28/2018,1
2/28/2018,1
2/28/2018,2
3/1/2018,1
3/1/2018,1
3/1/2018,1
3/2/2018,1
3/2/2018,1
3/2/2018,1
3/5/2018,1
3/5/2018,1
3/5/2018,1
3/6/2018,1
3/9/2018,1
3/9/2018,1
3/18/2018,2
3/19/2018,1
3/19/2018,1
3/22/2018,1
3/22/2018,1
3/22/2018,1
3/22/2018,1
3/25/2018,1
3/25/2018,1
4/10/2018,1
4/10/2018,1
4/10/2018,1
4/10/2018,1
4/11/2018,1
4/11/2018,1
4/13/2018,1
4/19/2018,1
4/19/2018,1
4/23/2018,1
4/23/2018,1
4/23/2018,1
5/3/2018,1
5/17/2018,1
5/17/2018,6
5/17/2018,1
5/17/2018,1
5/18/2018,1
5/18/2018,1
5/19/2018,1
5/19/2018,1
5/19/2018,1
5/26/2018,1
5/26/2018,1
5/27/2018,1
5/29/2018,1
6/4/2018,1
6/4/2018,1
6/5/2018,1
6/9/2018,2
6/9/2018,1
6/10/2018,3
6/10/2018,1
6/11/2018,1
6/13/2018,1
6/13/2018,1
6/17/2018,1
6/18/2018,1
6/18/2018,1
6/18/2018,1
6/18/2018,1
6/18/2018,2
6/26/2018,1
6/26/2018,2
6/26/2018,1
6/28/2018,1
7/1/2018,1
7/4/2018,2
7/4/2018,1
7/4/2018,1
7/5/2018,1
7/7/2018,1
7/8/2018,1
7/8/2018,1
7/8/2018,1
7/8/2018,1
7/8/2018,1
7/8/2018,1
7/9/2018,1
7/11/2018,1
7/11/2018,1
7/11/2018,1
7/11/2018,1
7/11/2018,1
7/11/2018,1
7/11/2018,1
7/11/2018,1
7/11/2018,1
7/11/2018,1
7/13/2018,2
7/13/2018,1
7/13/2018,1
7/17/2018,1
7/17/2018,1
7/17/2018,1
7/21/2018,1
7/21/2018,1
8/8/2018,1
8/8/2018,1
8/10/2018,1
8/14/2018,1
8/14/2018,1
8/14/2018,1
8/14/2018,1
8/14/2018,1
8/20/2018,1
8/20/2018,1
8/20/2018,1
8/20/2018,1
8/20/2018,1
8/21/2018,1
8/22/2018,1
8/22/2018,1
8/28/2018,1
8/28/2018,1
8/28/2018,1
8/28/2018,1
9/1/2018,1
9/7/2018,1
9/7/2018,1
9/7/2018,1
9/9/2018,1
9/13/2018,2
9/14/2018,1
